pre post type synapses
ADAL	ADFL	electrical	1
ADAL	AIBL	chemical	1
ADAL	AIBR	chemical	2
ADAL	ASHL	electrical	1
ADAL	AVAR	chemical	2
ADAL	AVBL	chemical	4
ADAL	AVBR	chemical	7
ADAL	AVDL	chemical	1
ADAL	AVDR	electrical	2
ADAL	AVEL	chemical	1
ADAL	AVJR	chemical	5
ADAL	FLPR	chemical	1
ADAL	RICL	chemical	2
ADAL	RICR	chemical	1
ADAL	RIML	chemical	3
ADAL	RIPL	chemical	1
ADAL	SMDVR	chemical	2
ADAR	ADAL	electrical	1
ADAR	ADFR	electrical	1
ADAR	AIBL	chemical	1
ADAR	AIBR	chemical	1
ADAR	ASHR	electrical	1
ADAR	AVAL	chemical	1
ADAR	AVBL	chemical	2
ADAR	AVBR	chemical	5
ADAR	AVDL	electrical	2
ADAR	AVEL	chemical	1
ADAR	AVJL	chemical	3
ADAR	RICL	chemical	1
ADAR	RIMR	chemical	5
ADAR	RIPR	chemical	1
ADAR	RIVR	chemical	1
ADAR	SMDVL	chemical	2
ADEL	ADAL	chemical	1
ADEL	ADER	chemical	1
ADEL	AVAL	chemical	2
ADEL	AVAR	chemical	3
ADEL	AVEL	chemical	1
ADEL	AVL	chemical	1
ADEL	BDUL	chemical	1
ADEL	CEPDL	chemical	1
ADEL	FLPL	chemical	2
ADEL	IL1L	chemical	1
ADEL	IL2L	chemical	2
ADEL	OLLL	chemical	2
ADEL	RIAL	chemical	1
ADEL	RIFL	chemical	1
ADEL	RIGL	chemical	5
ADEL	RIGR	chemical	6
ADEL	RIH	chemical	2
ADEL	RIVL	chemical	1
ADEL	RIVR	chemical	1
ADEL	RMDL	chemical	4
ADEL	RMGL	chemical	1
ADEL	RMHL	chemical	1
ADEL	SIADR	chemical	1
ADEL	SIBDR	chemical	1
ADEL	SMBDR	chemical	1
ADEL	URBL	chemical	1
ADER	ADAR	chemical	1
ADER	ADEL	chemical	2
ADER	ALA	chemical	1
ADER	AVAL	chemical	5
ADER	AVAR	chemical	1
ADER	AVDR	chemical	2
ADER	AVER	chemical	1
ADER	AVJR	chemical	1
ADER	AVKL	chemical	2
ADER	AVKR	chemical	1
ADER	CEPDR	chemical	1
ADER	FLPL	chemical	1
ADER	FLPR	chemical	1
ADER	OLLR	chemical	2
ADER	PVR	chemical	1
ADER	RIGL	chemical	7
ADER	RIGR	chemical	4
ADER	RIH	chemical	1
ADER	RMDR	chemical	2
ADER	SAAVR	chemical	1
ADFL	ADAL	chemical	1
ADFL	AIZL	chemical	12
ADFL	AUAL	chemical	5
ADFL	OLQVL	chemical	1
ADFL	RIAL	chemical	15
ADFL	RIGL	chemical	1
ADFL	RIR	chemical	2
ADFL	SMBVL	chemical	2
ADFR	ADAR	chemical	1
ADFR	AIYR	chemical	1
ADFR	AIZR	chemical	8
ADFR	ASHR	chemical	1
ADFR	AUAR	chemical	4
ADFR	AWBR	chemical	1
ADFR	PVPR	chemical	1
ADFR	RIAR	chemical	16
ADFR	RIGR	chemical	3
ADFR	RIR	chemical	3
ADFR	SMBDR	chemical	1
ADFR	SMBVR	chemical	2
ADFR	URXR	chemical	1
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	6
ADLL	AIBL	chemical	7
ADLL	AIBR	chemical	1
ADLL	ALA	chemical	2
ADLL	ASER	chemical	3
ADLL	ASHL	chemical	2
ADLL	AVAL	chemical	2
ADLL	AVAR	chemical	3
ADLL	AVBL	chemical	4
ADLL	AVDL	chemical	1
ADLL	AVDR	chemical	4
ADLL	AVDR	electrical	1
ADLL	AVJL	chemical	1
ADLL	AVJR	chemical	3
ADLL	AWBL	chemical	2
ADLL	OLQVL	chemical	1
ADLL	OLQVL	electrical	1
ADLL	RIPL	chemical	1
ADLL	RMGL	electrical	1
ADLR	AIAR	chemical	10
ADLR	AIBR	chemical	10
ADLR	ASER	chemical	1
ADLR	ASHR	chemical	3
ADLR	AVAR	chemical	2
ADLR	AVBL	chemical	1
ADLR	AVBR	chemical	2
ADLR	AVDL	chemical	5
ADLR	AVDR	chemical	2
ADLR	AVJR	chemical	2
ADLR	AWCR	chemical	3
ADLR	OLLR	chemical	1
ADLR	PVCL	chemical	2
ADLR	RICL	chemical	1
ADLR	RICR	chemical	1
AFDL	AFDR	electrical	1
AFDL	AIBL	electrical	1
AFDL	AINR	chemical	1
AFDL	AIYL	chemical	7
AFDR	AIBR	electrical	1
AFDR	AIYR	chemical	13
AFDR	ASER	chemical	1
AIAL	ADAL	chemical	1
AIAL	AIBL	chemical	10
AIAL	AIML	chemical	2
AIAL	AIZL	chemical	1
AIAL	ASER	chemical	3
AIAL	ASGL	chemical	1
AIAL	ASHL	chemical	1
AIAL	ASIL	electrical	2
AIAL	ASKL	chemical	3
AIAL	AWAL	electrical	1
AIAL	AWCR	chemical	1
AIAL	HSNL	chemical	1
AIAL	RIFL	chemical	1
AIAL	RMGL	chemical	1
AIAR	ADAR	chemical	1
AIAR	ADFR	electrical	1
AIAR	ADLR	chemical	2
AIAR	AIAL	electrical	1
AIAR	AIBR	chemical	14
AIAR	AIZR	chemical	1
AIAR	ASER	chemical	1
AIAR	ASGR	chemical	2
AIAR	ASIR	electrical	2
AIAR	AWAR	chemical	1
AIAR	AWAR	electrical	1
AIAR	AWCL	chemical	1
AIAR	AWCR	chemical	3
AIAR	RIFR	chemical	2
AIBL	AIYL	chemical	1
AIBL	ASER	chemical	1
AIBL	AVAL	chemical	2
AIBL	AVBL	chemical	5
AIBL	FLPL	chemical	1
AIBL	RIBR	chemical	4
AIBL	RIFL	chemical	1
AIBL	RIGR	chemical	1
AIBL	RIML	chemical	2
AIBL	RIMR	chemical	13
AIBL	SAADL	chemical	2
AIBL	SAADR	chemical	2
AIBL	SMDDR	chemical	4
AIBR	AVAR	chemical	1
AIBR	AVBR	chemical	3
AIBR	AVEL	chemical	1
AIBR	RIAL	chemical	1
AIBR	RIBL	chemical	4
AIBR	RIML	chemical	16
AIBR	RIMR	chemical	1
AIBR	SAADL	chemical	1
AIBR	SMDDL	chemical	3
AIBR	SMDVL	chemical	1
AIML	AIAL	chemical	5
AIML	ALML	chemical	1
AIML	ASGL	chemical	2
AIML	ASKL	chemical	2
AIML	AVBR	chemical	2
AIML	AVDL	chemical	1
AIML	AVDR	chemical	1
AIML	AVER	chemical	1
AIML	AVFL	chemical	4
AIML	AVFR	chemical	1
AIML	AVHL	chemical	2
AIML	AVHR	chemical	1
AIML	AVJL	chemical	1
AIML	CEPshVL	chemical	1
AIML	PVQL	chemical	1
AIML	RIFL	chemical	1
AIML	SMBVL	chemical	1
AIMR	AIAR	chemical	5
AIMR	ASGR	chemical	2
AIMR	ASJR	chemical	2
AIMR	ASKR	chemical	3
AIMR	AVDR	chemical	1
AIMR	AVFL	chemical	2
AIMR	AVFR	chemical	2
AIMR	CEPshVR	chemical	1
AIMR	HSNL	chemical	1
AIMR	HSNR	chemical	2
AIMR	OLQDR	chemical	1
AIMR	PVNR	chemical	1
AIMR	RIFR	chemical	1
AIMR	RMGR	chemical	2
AINL	ADEL	electrical	1
AINL	AFDR	chemical	5
AINL	ASEL	chemical	3
AINL	ASGR	chemical	1
AINL	AUAR	chemical	1
AINL	BAGL	chemical	3
AINL	CEPshDR	chemical	1
AINL	RIBL	chemical	1
AINL	RIBR	chemical	2
AINR	AFDL	chemical	4
AINR	AFDR	chemical	1
AINR	AIAL	chemical	2
AINR	AIBL	chemical	2
AINR	AINL	electrical	2
AINR	ASEL	chemical	1
AINR	ASER	chemical	2
AINR	ASGL	electrical	1
AINR	AUAR	chemical	1
AINR	BAGR	chemical	3
